img_id,dataset,route,score,reason,parse_tier
10206674394.jpg,koniq,r6offanchor,4.5029,"R6-offanchor=0.6·动态融合(S-TECH×0.20,S-GLOBAL×0.33,S-CONTENT×0.47)+0.4·bare投票(4.00)",1
10211880874.jpg,koniq,r6offanchor,3.2258,"R6-offanchor=0.6·动态融合(S-TECH×0.67,S-GLOBAL×0.23,S-CONTENT×0.10)+0.4·bare投票(3.00)",1
10241895785.jpg,koniq,r6offanchor,3.9332,"R6-offanchor=0.6·动态融合(S-TECH×0.49,S-GLOBAL×0.30,S-CONTENT×0.22)+0.4·bare投票(4.00)",1
10265315316.jpg,koniq,r6offanchor,4.0033,"R6-offanchor=0.6·动态融合(S-TECH×0.30,S-GLOBAL×0.36,S-CONTENT×0.34)+0.4·bare投票(3.75)",1
10279904885.jpg,koniq,r6offanchor,3.7172,"R6-offanchor=0.6·动态融合(S-TECH×0.61,S-GLOBAL×0.25,S-CONTENT×0.14)+0.4·bare投票(3.75)",1
10283619534.jpg,koniq,r6offanchor,3.8682,"R6-offanchor=0.6·动态融合(S-TECH×0.25,S-GLOBAL×0.33,S-CONTENT×0.42)+0.4·bare投票(4.00)",1
10296038236.jpg,koniq,r6offanchor,3.12,"R6-offanchor=0.6·动态融合(S-TECH×0.17,S-GLOBAL×0.27,S-CONTENT×0.56)+0.4·bare投票(3.00)",1
102995966.jpg,koniq,r6offanchor,2.5385,"R6-offanchor=0.6·动态融合(S-TECH×0.58,S-GLOBAL×0.26,S-CONTENT×0.16)+0.4·bare投票(2.50)",1
10330831494.jpg,koniq,r6offanchor,2.82,"R6-offanchor=0.6·动态融合(S-TECH×0.14,S-GLOBAL×0.28,S-CONTENT×0.58)+0.4·bare投票(2.25)",1
10336689775.jpg,koniq,r6offanchor,3.5792,"R6-offanchor=0.6·动态融合(S-TECH×0.43,S-GLOBAL×0.33,S-CONTENT×0.24)+0.4·bare投票(3.00)",1
10346758803.jpg,koniq,r6offanchor,4.1266,"R6-offanchor=0.6·动态融合(S-TECH×0.28,S-GLOBAL×0.35,S-CONTENT×0.37)+0.4·bare投票(4.00)",1
10353620913.jpg,koniq,r6offanchor,3.8189,"R6-offanchor=0.6·动态融合(S-TECH×0.50,S-GLOBAL×0.30,S-CONTENT×0.20)+0.4·bare投票(3.75)",1
10375167904.jpg,koniq,r6offanchor,3.5785,"R6-offanchor=0.6·动态融合(S-TECH×0.43,S-GLOBAL×0.33,S-CONTENT×0.24)+0.4·bare投票(3.00)",1
10382843045.jpg,koniq,r6offanchor,3.4823,"R6-offanchor=0.6·动态融合(S-TECH×0.53,S-GLOBAL×0.29,S-CONTENT×0.17)+0.4·bare投票(3.00)",1
10397166423.jpg,koniq,r6offanchor,4.4905,"R6-offanchor=0.6·动态融合(S-TECH×0.23,S-GLOBAL×0.33,S-CONTENT×0.44)+0.4·bare投票(4.00)",1
10408474376.jpg,koniq,r6offanchor,4.6,"R6-offanchor=0.6·动态融合(S-TECH×0.10,S-GLOBAL×0.27,S-CONTENT×0.63)+0.4·bare投票(4.00)",1
10422425365.jpg,koniq,r6offanchor,3.8823,"R6-offanchor=0.6·动态融合(S-TECH×0.28,S-GLOBAL×0.33,S-CONTENT×0.40)+0.4·bare投票(4.00)",1
10422776735.jpg,koniq,r6offanchor,3.6337,"R6-offanchor=0.6·动态融合(S-TECH×0.37,S-GLOBAL×0.34,S-CONTENT×0.29)+0.4·bare投票(3.00)",1
10430335945.jpg,koniq,r6offanchor,3.5772,"R6-offanchor=0.6·动态融合(S-TECH×0.24,S-GLOBAL×0.36,S-CONTENT×0.41)+0.4·bare投票(3.00)",1
10468540574.jpg,koniq,r6offanchor,3.8418,"R6-offanchor=0.6·动态融合(S-TECH×0.37,S-GLOBAL×0.34,S-CONTENT×0.29)+0.4·bare投票(3.50)",1
10471406506.jpg,koniq,r6offanchor,3.3148,"R6-offanchor=0.6·动态融合(S-TECH×0.33,S-GLOBAL×0.32,S-CONTENT×0.35)+0.4·bare投票(3.00)",1
10474002734.jpg,koniq,r6offanchor,4.0526,"R6-offanchor=0.6·动态融合(S-TECH×0.20,S-GLOBAL×0.32,S-CONTENT×0.48)+0.4·bare投票(3.25)",1
10475658035.jpg,koniq,r6offanchor,5.0,"R6-offanchor=0.6·动态融合(S-TECH×0.08,S-GLOBAL×0.26,S-CONTENT×0.65)+0.4·bare投票(5.00)",1
10491358066.jpg,koniq,r6offanchor,4.3093,"R6-offanchor=0.6·动态融合(S-TECH×0.27,S-GLOBAL×0.34,S-CONTENT×0.39)+0.4·bare投票(4.00)",1
10520192995.jpg,koniq,r6offanchor,3.4354,"R6-offanchor=0.6·动态融合(S-TECH×0.47,S-GLOBAL×0.29,S-CONTENT×0.24)+0.4·bare投票(3.00)",1
10534454676.jpg,koniq,r6offanchor,4.3801,"R6-offanchor=0.6·动态融合(S-TECH×0.15,S-GLOBAL×0.31,S-CONTENT×0.54)+0.4·bare投票(4.00)",1
10539341593.jpg,koniq,r6offanchor,3.9598,"R6-offanchor=0.6·动态融合(S-TECH×0.18,S-GLOBAL×0.32,S-CONTENT×0.50)+0.4·bare投票(3.00)",1
10544945153.jpg,koniq,r6offanchor,3.3042,"R6-offanchor=0.6·动态融合(S-TECH×0.42,S-GLOBAL×0.31,S-CONTENT×0.27)+0.4·bare投票(3.00)",1
10574233584.jpg,koniq,r6offanchor,3.12,"R6-offanchor=0.6·动态融合(S-TECH×0.24,S-GLOBAL×0.28,S-CONTENT×0.47)+0.4·bare投票(3.00)",1
10576676414.jpg,koniq,r6offanchor,3.7335,"R6-offanchor=0.6·动态融合(S-TECH×0.37,S-GLOBAL×0.34,S-CONTENT×0.29)+0.4·bare投票(3.25)",1
10581525775.jpg,koniq,r6offanchor,3.5857,"R6-offanchor=0.6·动态融合(S-TECH×0.42,S-GLOBAL×0.33,S-CONTENT×0.25)+0.4·bare投票(3.00)",1
10597114264.jpg,koniq,r6offanchor,4.4764,"R6-offanchor=0.6·动态融合(S-TECH×0.26,S-GLOBAL×0.32,S-CONTENT×0.42)+0.4·bare投票(4.00)",1
10609356094.jpg,koniq,r6offanchor,3.6385,"R6-offanchor=0.6·动态融合(S-TECH×0.37,S-GLOBAL×0.34,S-CONTENT×0.29)+0.4·bare投票(3.00)",1
10619909515.jpg,koniq,r6offanchor,4.12,"R6-offanchor=0.6·动态融合(S-TECH×0.18,S-GLOBAL×0.29,S-CONTENT×0.53)+0.4·bare投票(4.00)",1
10620356404.jpg,koniq,r6offanchor,4.3172,"R6-offanchor=0.6·动态融合(S-TECH×0.27,S-GLOBAL×0.32,S-CONTENT×0.41)+0.4·bare投票(4.00)",1
106456452.jpg,koniq,r6offanchor,2.4395,"R6-offanchor=0.6·动态融合(S-TECH×0.48,S-GLOBAL×0.29,S-CONTENT×0.23)+0.4·bare投票(2.00)",1
10680715605.jpg,koniq,r6offanchor,2.7393,"R6-offanchor=0.6·动态融合(S-TECH×0.79,S-GLOBAL×0.17,S-CONTENT×0.04)+0.4·bare投票(3.00)",1
10680932454.jpg,koniq,r6offanchor,4.0841,"R6-offanchor=0.6·动态融合(S-TECH×0.32,S-GLOBAL×0.35,S-CONTENT×0.33)+0.4·bare投票(4.00)",1
10686332213.jpg,koniq,r6offanchor,3.2921,"R6-offanchor=0.6·动态融合(S-TECH×0.57,S-GLOBAL×0.27,S-CONTENT×0.16)+0.4·bare投票(3.00)",1
10694350076.jpg,koniq,r6offanchor,4.2432,"R6-offanchor=0.6·动态融合(S-TECH×0.21,S-GLOBAL×0.32,S-CONTENT×0.47)+0.4·bare投票(3.75)",1
10705911926.jpg,koniq,r6offanchor,3.82,"R6-offanchor=0.6·动态融合(S-TECH×0.11,S-GLOBAL×0.28,S-CONTENT×0.62)+0.4·bare投票(3.25)",1
10706770686.jpg,koniq,r6offanchor,4.12,"R6-offanchor=0.6·动态融合(S-TECH×0.10,S-GLOBAL×0.26,S-CONTENT×0.64)+0.4·bare投票(4.00)",1
10713772814.jpg,koniq,r6offanchor,3.6192,"R6-offanchor=0.6·动态融合(S-TECH×0.38,S-GLOBAL×0.35,S-CONTENT×0.27)+0.4·bare投票(3.00)",1
10740727595.jpg,koniq,r6offanchor,3.7431,"R6-offanchor=0.6·动态融合(S-TECH×0.36,S-GLOBAL×0.35,S-CONTENT×0.29)+0.4·bare投票(3.25)",1
10745415703.jpg,koniq,r6offanchor,3.9157,"R6-offanchor=0.6·动态融合(S-TECH×0.57,S-GLOBAL×0.25,S-CONTENT×0.18)+0.4·bare投票(4.00)",1
10745932825.jpg,koniq,r6offanchor,3.9168,"R6-offanchor=0.6·动态融合(S-TECH×0.40,S-GLOBAL×0.32,S-CONTENT×0.28)+0.4·bare投票(3.75)",1
10747724694.jpg,koniq,r6offanchor,3.3411,"R6-offanchor=0.6·动态融合(S-TECH×0.29,S-GLOBAL×0.34,S-CONTENT×0.37)+0.4·bare投票(3.00)",1
10762659033.jpg,koniq,r6offanchor,2.7428,"R6-offanchor=0.6·动态融合(S-TECH×0.48,S-GLOBAL×0.33,S-CONTENT×0.19)+0.4·bare投票(3.00)",1
10765812585.jpg,koniq,r6offanchor,3.7191,"R6-offanchor=0.6·动态融合(S-TECH×0.61,S-GLOBAL×0.26,S-CONTENT×0.13)+0.4·bare投票(3.75)",1
10775358296.jpg,koniq,r6offanchor,2.2111,"R6-offanchor=0.6·动态融合(S-TECH×0.49,S-GLOBAL×0.28,S-CONTENT×0.23)+0.4·bare投票(2.00)",1
10783395635.jpg,koniq,r6offanchor,4.3343,"R6-offanchor=0.6·动态融合(S-TECH×0.23,S-GLOBAL×0.32,S-CONTENT×0.45)+0.4·bare投票(4.00)",1
10784159775.jpg,koniq,r6offanchor,4.3422,"R6-offanchor=0.6·动态融合(S-TECH×0.20,S-GLOBAL×0.33,S-CONTENT×0.46)+0.4·bare投票(4.00)",1
10786271105.jpg,koniq,r6offanchor,3.9247,"R6-offanchor=0.6·动态融合(S-TECH×0.25,S-GLOBAL×0.32,S-CONTENT×0.43)+0.4·bare投票(3.00)",1
10798439785.jpg,koniq,r6offanchor,3.8894,"R6-offanchor=0.6·动态融合(S-TECH×0.53,S-GLOBAL×0.28,S-CONTENT×0.19)+0.4·bare投票(4.00)",1
10799367156.jpg,koniq,r6offanchor,4.3788,"R6-offanchor=0.6·动态融合(S-TECH×0.17,S-GLOBAL×0.31,S-CONTENT×0.52)+0.4·bare投票(4.00)",1
10799853136.jpg,koniq,r6offanchor,3.5048,"R6-offanchor=0.6·动态融合(S-TECH×0.36,S-GLOBAL×0.36,S-CONTENT×0.28)+0.4·bare投票(3.25)",1
10806677866.jpg,koniq,r6offanchor,4.2592,"R6-offanchor=0.6·动态融合(S-TECH×0.41,S-GLOBAL×0.30,S-CONTENT×0.29)+0.4·bare投票(4.00)",1
10819001424.jpg,koniq,r6offanchor,2.2498,"R6-offanchor=0.6·动态融合(S-TECH×0.79,S-GLOBAL×0.17,S-CONTENT×0.04)+0.4·bare投票(2.00)",1
10849117054.jpg,koniq,r6offanchor,3.9441,"R6-offanchor=0.6·动态融合(S-TECH×0.47,S-GLOBAL×0.32,S-CONTENT×0.22)+0.4·bare投票(4.00)",1
1084984228.jpg,koniq,r6offanchor,3.2179,"R6-offanchor=0.6·动态融合(S-TECH×0.69,S-GLOBAL×0.22,S-CONTENT×0.09)+0.4·bare投票(3.00)",1
10856434794.jpg,koniq,r6offanchor,3.1648,"R6-offanchor=0.6·动态融合(S-TECH×0.25,S-GLOBAL×0.34,S-CONTENT×0.41)+0.4·bare投票(2.50)",1
10872249945.jpg,koniq,r6offanchor,4.872,"R6-offanchor=0.6·动态融合(S-TECH×0.30,S-GLOBAL×0.32,S-CONTENT×0.38)+0.4·bare投票(5.00)",1
10880314705.jpg,koniq,r6offanchor,4.3112,"R6-offanchor=0.6·动态融合(S-TECH×0.29,S-GLOBAL×0.31,S-CONTENT×0.40)+0.4·bare投票(4.00)",1
1089100444.jpg,koniq,r6offanchor,4.6,"R6-offanchor=0.6·动态融合(S-TECH×0.13,S-GLOBAL×0.28,S-CONTENT×0.59)+0.4·bare投票(4.00)",1
10923819485.jpg,koniq,r6offanchor,3.12,"R6-offanchor=0.6·动态融合(S-TECH×0.26,S-GLOBAL×0.29,S-CONTENT×0.45)+0.4·bare投票(3.00)",1
10927420963.jpg,koniq,r6offanchor,4.3277,"R6-offanchor=0.6·动态融合(S-TECH×0.25,S-GLOBAL×0.31,S-CONTENT×0.43)+0.4·bare投票(4.00)",1
10961758274.jpg,koniq,r6offanchor,4.6,"R6-offanchor=0.6·动态融合(S-TECH×0.08,S-GLOBAL×0.26,S-CONTENT×0.66)+0.4·bare投票(4.00)",1
10981006796.jpg,koniq,r6offanchor,2.2652,"R6-offanchor=0.6·动态融合(S-TECH×0.35,S-GLOBAL×0.34,S-CONTENT×0.31)+0.4·bare投票(2.00)",1
11005410885.jpg,koniq,r6offanchor,3.5243,"R6-offanchor=0.6·动态融合(S-TECH×0.33,S-GLOBAL×0.34,S-CONTENT×0.33)+0.4·bare投票(3.00)",1
1100873520.jpg,koniq,r6offanchor,3.5162,"R6-offanchor=0.6·动态融合(S-TECH×0.34,S-GLOBAL×0.34,S-CONTENT×0.32)+0.4·bare投票(3.00)",1
11016485883.jpg,koniq,r6offanchor,4.4974,"R6-offanchor=0.6·动态融合(S-TECH×0.21,S-GLOBAL×0.35,S-CONTENT×0.44)+0.4·bare投票(4.00)",1
11031973684.jpg,koniq,r6offanchor,3.587,"R6-offanchor=0.6·动态融合(S-TECH×0.22,S-GLOBAL×0.33,S-CONTENT×0.45)+0.4·bare投票(3.00)",1
11054955216.jpg,koniq,r6offanchor,3.7504,"R6-offanchor=0.6·动态融合(S-TECH×0.57,S-GLOBAL×0.27,S-CONTENT×0.16)+0.4·bare投票(3.75)",1
11078122366.jpg,koniq,r6offanchor,3.6519,"R6-offanchor=0.6·动态融合(S-TECH×0.57,S-GLOBAL×0.27,S-CONTENT×0.16)+0.4·bare投票(3.50)",1
11098121724.jpg,koniq,r6offanchor,3.6133,"R6-offanchor=0.6·动态融合(S-TECH×0.40,S-GLOBAL×0.33,S-CONTENT×0.28)+0.4·bare投票(3.00)",1
11111585533.jpg,koniq,r6offanchor,4.3406,"R6-offanchor=0.6·动态融合(S-TECH×0.22,S-GLOBAL×0.32,S-CONTENT×0.46)+0.4·bare投票(4.00)",1
11118140253.jpg,koniq,r6offanchor,4.4992,"R6-offanchor=0.6·动态融合(S-TECH×0.21,S-GLOBAL×0.35,S-CONTENT×0.44)+0.4·bare投票(4.00)",1
11143825565.jpg,koniq,r6offanchor,4.3247,"R6-offanchor=0.6·动态融合(S-TECH×0.24,S-GLOBAL×0.33,S-CONTENT×0.43)+0.4·bare投票(4.00)",1
11158314215.jpg,koniq,r6offanchor,3.457,"R6-offanchor=0.6·动态融合(S-TECH×0.57,S-GLOBAL×0.27,S-CONTENT×0.16)+0.4·bare投票(3.00)",1
11159983896.jpg,koniq,r6offanchor,4.3198,"R6-offanchor=0.6·动态融合(S-TECH×0.26,S-GLOBAL×0.33,S-CONTENT×0.42)+0.4·bare投票(4.00)",1
11169904264.jpg,koniq,r6offanchor,3.8684,"R6-offanchor=0.6·动态融合(S-TECH×0.55,S-GLOBAL×0.28,S-CONTENT×0.16)+0.4·bare投票(4.00)",1
11209059333.jpg,koniq,r6offanchor,3.12,"R6-offanchor=0.6·动态融合(S-TECH×0.09,S-GLOBAL×0.27,S-CONTENT×0.65)+0.4·bare投票(3.00)",1
11216436636.jpg,koniq,r6offanchor,4.2575,"R6-offanchor=0.6·动态融合(S-TECH×0.32,S-GLOBAL×0.36,S-CONTENT×0.32)+0.4·bare投票(4.00)",1
11229777185.jpg,koniq,r6offanchor,4.12,"R6-offanchor=0.6·动态融合(S-TECH×0.19,S-GLOBAL×0.27,S-CONTENT×0.53)+0.4·bare投票(4.00)",1
11241096796.jpg,koniq,r6offanchor,4.0338,"R6-offanchor=0.6·动态融合(S-TECH×0.37,S-GLOBAL×0.34,S-CONTENT×0.29)+0.4·bare投票(4.00)",1
11242015725.jpg,koniq,r6offanchor,3.8419,"R6-offanchor=0.6·动态融合(S-TECH×0.47,S-GLOBAL×0.31,S-CONTENT×0.22)+0.4·bare投票(3.75)",1
11245781693.jpg,koniq,r6offanchor,3.8033,"R6-offanchor=0.6·动态融合(S-TECH×0.41,S-GLOBAL×0.33,S-CONTENT×0.27)+0.4·bare投票(3.50)",1
11250215644.jpg,koniq,r6offanchor,3.9388,"R6-offanchor=0.6·动态融合(S-TECH×0.21,S-GLOBAL×0.33,S-CONTENT×0.46)+0.4·bare投票(3.00)",1
11252383376.jpg,koniq,r6offanchor,4.3283,"R6-offanchor=0.6·动态融合(S-TECH×0.24,S-GLOBAL×0.32,S-CONTENT×0.43)+0.4·bare投票(4.00)",1
11252644224.jpg,koniq,r6offanchor,3.5998,"R6-offanchor=0.6·动态融合(S-TECH×0.20,S-GLOBAL×0.35,S-CONTENT×0.45)+0.4·bare投票(3.00)",1
11264048414.jpg,koniq,r6offanchor,2.1277,"R6-offanchor=0.6·动态融合(S-TECH×0.14,S-GLOBAL×0.30,S-CONTENT×0.56)+0.4·bare投票(2.00)",1
11270280904.jpg,koniq,r6offanchor,3.9549,"R6-offanchor=0.6·动态融合(S-TECH×0.45,S-GLOBAL×0.34,S-CONTENT×0.22)+0.4·bare投票(4.00)",1
11273190884.jpg,koniq,r6offanchor,4.3778,"R6-offanchor=0.6·动态融合(S-TECH×0.16,S-GLOBAL×0.32,S-CONTENT×0.52)+0.4·bare投票(4.00)",1
11287273183.jpg,koniq,r6offanchor,3.7351,"R6-offanchor=0.6·动态融合(S-TECH×0.23,S-GLOBAL×0.36,S-CONTENT×0.41)+0.4·bare投票(4.00)",1
11294894953.jpg,koniq,r6offanchor,3.7088,"R6-offanchor=0.6·动态融合(S-TECH×0.29,S-GLOBAL×0.36,S-CONTENT×0.34)+0.4·bare投票(3.00)",1
11310848503.jpg,koniq,r6offanchor,4.0182,"R6-offanchor=0.6·动态融合(S-TECH×0.32,S-GLOBAL×0.31,S-CONTENT×0.38)+0.4·bare投票(3.75)",1
11338371864.jpg,koniq,r6offanchor,3.6737,"R6-offanchor=0.6·动态融合(S-TECH×0.32,S-GLOBAL×0.37,S-CONTENT×0.31)+0.4·bare投票(3.00)",1
11356760053.jpg,koniq,r6offanchor,4.9,"R6-offanchor=0.6·动态融合(S-TECH×0.18,S-GLOBAL×0.28,S-CONTENT×0.54)+0.4·bare投票(4.75)",1
11382799454.jpg,koniq,r6offanchor,4.4939,"R6-offanchor=0.6·动态融合(S-TECH×0.22,S-GLOBAL×0.33,S-CONTENT×0.45)+0.4·bare投票(4.00)",1
11396447303.jpg,koniq,r6offanchor,3.7032,"R6-offanchor=0.6·动态融合(S-TECH×0.30,S-GLOBAL×0.36,S-CONTENT×0.34)+0.4·bare投票(3.00)",1
11433593823.jpg,koniq,r6offanchor,4.2702,"R6-offanchor=0.6·动态融合(S-TECH×0.39,S-GLOBAL×0.30,S-CONTENT×0.31)+0.4·bare投票(4.00)",1
11436390143.jpg,koniq,r6offanchor,4.3354,"R6-offanchor=0.6·动态融合(S-TECH×0.23,S-GLOBAL×0.32,S-CONTENT×0.45)+0.4·bare投票(4.00)",1
11437542656.jpg,koniq,r6offanchor,4.2795,"R6-offanchor=0.6·动态融合(S-TECH×0.36,S-GLOBAL×0.31,S-CONTENT×0.33)+0.4·bare投票(4.00)",1
11446005074.jpg,koniq,r6offanchor,3.8677,"R6-offanchor=0.6·动态融合(S-TECH×0.56,S-GLOBAL×0.28,S-CONTENT×0.17)+0.4·bare投票(4.00)",1
11452299875.jpg,koniq,r6offanchor,4.2581,"R6-offanchor=0.6·动态融合(S-TECH×0.29,S-GLOBAL×0.34,S-CONTENT×0.38)+0.4·bare投票(4.00)",1
11456199025.jpg,koniq,r6offanchor,2.1835,"R6-offanchor=0.6·动态融合(S-TECH×0.65,S-GLOBAL×0.25,S-CONTENT×0.10)+0.4·bare投票(2.00)",1
11477250346.jpg,koniq,r6offanchor,4.3311,"R6-offanchor=0.6·动态融合(S-TECH×0.23,S-GLOBAL×0.33,S-CONTENT×0.44)+0.4·bare投票(4.00)",1
11490304024.jpg,koniq,r6offanchor,4.12,"R6-offanchor=0.6·动态融合(S-TECH×0.19,S-GLOBAL×0.29,S-CONTENT×0.52)+0.4·bare投票(4.00)",1
11520125355.jpg,koniq,r6offanchor,3.5762,"R6-offanchor=0.6·动态融合(S-TECH×0.43,S-GLOBAL×0.32,S-CONTENT×0.24)+0.4·bare投票(3.00)",1
11522984926.jpg,koniq,r6offanchor,4.2608,"R6-offanchor=0.6·动态融合(S-TECH×0.39,S-GLOBAL×0.32,S-CONTENT×0.29)+0.4·bare投票(4.00)",1
11527524903.jpg,koniq,r6offanchor,2.6869,"R6-offanchor=0.6·动态融合(S-TECH×0.46,S-GLOBAL×0.29,S-CONTENT×0.25)+0.4·bare投票(2.25)",1
115290990.jpg,koniq,r6offanchor,4.2947,"R6-offanchor=0.6·动态融合(S-TECH×0.29,S-GLOBAL×0.35,S-CONTENT×0.36)+0.4·bare投票(4.00)",1
11559530473.jpg,koniq,r6offanchor,3.6131,"R6-offanchor=0.6·动态融合(S-TECH×0.39,S-GLOBAL×0.34,S-CONTENT×0.27)+0.4·bare投票(3.00)",1
1159028861.jpg,koniq,r6offanchor,4.3502,"R6-offanchor=0.6·动态融合(S-TECH×0.20,S-GLOBAL×0.32,S-CONTENT×0.48)+0.4·bare投票(4.00)",1
117172917.jpg,koniq,r6offanchor,3.6471,"R6-offanchor=0.6·动态融合(S-TECH×0.35,S-GLOBAL×0.37,S-CONTENT×0.28)+0.4·bare投票(3.00)",1
122760647.jpg,koniq,r6offanchor,3.12,"R6-offanchor=0.6·动态融合(S-TECH×0.12,S-GLOBAL×0.27,S-CONTENT×0.61)+0.4·bare投票(3.00)",1
1240561841.jpg,koniq,r6offanchor,3.4727,"R6-offanchor=0.6·动态融合(S-TECH×0.25,S-GLOBAL×0.33,S-CONTENT×0.41)+0.4·bare投票(3.00)",1
1249337589.jpg,koniq,r6offanchor,4.4609,"R6-offanchor=0.6·动态融合(S-TECH×0.29,S-GLOBAL×0.33,S-CONTENT×0.38)+0.4·bare投票(4.00)",1
127977276.jpg,koniq,r6offanchor,4.3566,"R6-offanchor=0.6·动态融合(S-TECH×0.19,S-GLOBAL×0.32,S-CONTENT×0.49)+0.4·bare投票(4.00)",1
128781220.jpg,koniq,r6offanchor,3.6869,"R6-offanchor=0.6·动态融合(S-TECH×0.56,S-GLOBAL×0.27,S-CONTENT×0.18)+0.4·bare投票(3.75)",1
1296759644.jpg,koniq,r6offanchor,2.8576,"R6-offanchor=0.6·动态融合(S-TECH×0.48,S-GLOBAL×0.29,S-CONTENT×0.23)+0.4·bare投票(2.00)",1
1297819816.jpg,koniq,r6offanchor,3.915,"R6-offanchor=0.6·动态融合(S-TECH×0.34,S-GLOBAL×0.32,S-CONTENT×0.33)+0.4·bare投票(4.00)",1
132921013.jpg,koniq,r6offanchor,4.3309,"R6-offanchor=0.6·动态融合(S-TECH×0.25,S-GLOBAL×0.34,S-CONTENT×0.41)+0.4·bare投票(4.00)",1
1332211559.jpg,koniq,r6offanchor,2.104,"R6-offanchor=0.6·动态融合(S-TECH×0.34,S-GLOBAL×0.29,S-CONTENT×0.37)+0.4·bare投票(2.00)",1
13325497.jpg,koniq,r6offanchor,3.7012,"R6-offanchor=0.6·动态融合(S-TECH×0.30,S-GLOBAL×0.35,S-CONTENT×0.34)+0.4·bare投票(3.00)",1
1351917139.jpg,koniq,r6offanchor,4.0013,"R6-offanchor=0.6·动态融合(S-TECH×0.40,S-GLOBAL×0.36,S-CONTENT×0.25)+0.4·bare投票(4.00)",1
135352055.jpg,koniq,r6offanchor,2.1045,"R6-offanchor=0.6·动态融合(S-TECH×0.34,S-GLOBAL×0.29,S-CONTENT×0.37)+0.4·bare投票(2.00)",1
135403304.jpg,koniq,r6offanchor,2.1748,"R6-offanchor=0.6·动态融合(S-TECH×0.57,S-GLOBAL×0.26,S-CONTENT×0.17)+0.4·bare投票(2.00)",1
1360663704.jpg,koniq,r6offanchor,3.8697,"R6-offanchor=0.6·动态融合(S-TECH×0.34,S-GLOBAL×0.34,S-CONTENT×0.32)+0.4·bare投票(3.50)",1
136287514.jpg,koniq,r6offanchor,3.3636,"R6-offanchor=0.6·动态融合(S-TECH×0.44,S-GLOBAL×0.34,S-CONTENT×0.23)+0.4·bare投票(3.00)",1
1368120580.jpg,koniq,r6offanchor,4.5217,"R6-offanchor=0.6·动态融合(S-TECH×0.16,S-GLOBAL×0.32,S-CONTENT×0.52)+0.4·bare投票(4.00)",1
136948336.jpg,koniq,r6offanchor,3.6634,"R6-offanchor=0.6·动态融合(S-TECH×0.35,S-GLOBAL×0.34,S-CONTENT×0.31)+0.4·bare投票(3.00)",1
138750201.jpg,koniq,r6offanchor,3.4006,"R6-offanchor=0.6·动态融合(S-TECH×0.20,S-GLOBAL×0.33,S-CONTENT×0.47)+0.4·bare投票(3.00)",1
139611767.jpg,koniq,r6offanchor,2.6707,"R6-offanchor=0.6·动态融合(S-TECH×0.76,S-GLOBAL×0.19,S-CONTENT×0.05)+0.4·bare投票(3.00)",1
1404458044.jpg,koniq,r6offanchor,3.47,"R6-offanchor=0.6·动态融合(S-TECH×0.56,S-GLOBAL×0.27,S-CONTENT×0.18)+0.4·bare投票(3.00)",1
1408118135.jpg,koniq,r6offanchor,3.2846,"R6-offanchor=0.6·动态融合(S-TECH×0.57,S-GLOBAL×0.27,S-CONTENT×0.15)+0.4·bare投票(3.00)",1
14092652.jpg,koniq,r6offanchor,3.7173,"R6-offanchor=0.6·动态融合(S-TECH×0.29,S-GLOBAL×0.36,S-CONTENT×0.35)+0.4·bare投票(3.00)",1
