img_id,dataset,route,level,score,reason,parse_tier
10375167904.jpg,koniq,r6,,3.3934,"R6=0.6·动态融合(S-TECH×0.45,S-GLOBAL×0.33,S-CONTENT×0.22)+0.4·bare投票(3.00)",1
10382843045.jpg,koniq,r6,,3.2427,"R6=0.6·动态融合(S-TECH×0.57,S-GLOBAL×0.28,S-CONTENT×0.15)+0.4·bare投票(3.00)",1
10397166423.jpg,koniq,r6,,4.3915,"R6=0.6·动态融合(S-TECH×0.21,S-GLOBAL×0.33,S-CONTENT×0.46)+0.4·bare投票(4.00)",1
10408474376.jpg,koniq,r6,,4.48,"R6=0.6·动态融合(S-TECH×0.10,S-GLOBAL×0.27,S-CONTENT×0.63)+0.4·bare投票(4.00)",1
10422425365.jpg,koniq,r6,,3.7963,"R6=0.6·动态融合(S-TECH×0.27,S-GLOBAL×0.33,S-CONTENT×0.41)+0.4·bare投票(4.00)",1
10422776735.jpg,koniq,r6,,3.4507,"R6=0.6·动态融合(S-TECH×0.39,S-GLOBAL×0.34,S-CONTENT×0.27)+0.4·bare投票(3.00)",1
10430335945.jpg,koniq,r6,,3.3972,"R6=0.6·动态融合(S-TECH×0.24,S-GLOBAL×0.36,S-CONTENT×0.41)+0.4·bare投票(3.00)",1
10468540574.jpg,koniq,r6,,3.6779,"R6=0.6·动态融合(S-TECH×0.39,S-GLOBAL×0.34,S-CONTENT×0.28)+0.4·bare投票(3.50)",1
10471406506.jpg,koniq,r6,,3.156,"R6=0.6·动态融合(S-TECH×0.32,S-GLOBAL×0.32,S-CONTENT×0.36)+0.4·bare投票(3.00)",1
10474002734.jpg,koniq,r6,,3.9234,"R6=0.6·动态融合(S-TECH×0.20,S-GLOBAL×0.32,S-CONTENT×0.48)+0.4·bare投票(3.25)",1
10475658035.jpg,koniq,r6,,4.9539,"R6=0.6·动态融合(S-TECH×0.10,S-GLOBAL×0.28,S-CONTENT×0.62)+0.4·bare投票(5.00)",1
10491358066.jpg,koniq,r6,,4.2099,"R6=0.6·动态融合(S-TECH×0.26,S-GLOBAL×0.33,S-CONTENT×0.40)+0.4·bare投票(4.00)",1
10520192995.jpg,koniq,r6,,3.2118,"R6=0.6·动态融合(S-TECH×0.50,S-GLOBAL×0.28,S-CONTENT×0.22)+0.4·bare投票(3.00)",1
10534454676.jpg,koniq,r6,,4.2733,"R6=0.6·动态融合(S-TECH×0.14,S-GLOBAL×0.31,S-CONTENT×0.55)+0.4·bare投票(4.00)",1
10539341593.jpg,koniq,r6,,3.8553,"R6=0.6·动态融合(S-TECH×0.18,S-GLOBAL×0.31,S-CONTENT×0.51)+0.4·bare投票(3.00)",1
10544945153.jpg,koniq,r6,,3.1242,"R6=0.6·动态融合(S-TECH×0.42,S-GLOBAL×0.31,S-CONTENT×0.27)+0.4·bare投票(3.00)",1
10574233584.jpg,koniq,r6,,2.967,"R6=0.6·动态融合(S-TECH×0.26,S-GLOBAL×0.29,S-CONTENT×0.45)+0.4·bare投票(3.00)",1
10576676414.jpg,koniq,r6,,3.5504,"R6=0.6·动态融合(S-TECH×0.39,S-GLOBAL×0.34,S-CONTENT×0.27)+0.4·bare投票(3.25)",1
10581525775.jpg,koniq,r6,,3.4192,"R6=0.6·动态融合(S-TECH×0.44,S-GLOBAL×0.33,S-CONTENT×0.23)+0.4·bare投票(3.00)",1
10597114264.jpg,koniq,r6,,4.3798,"R6=0.6·动态融合(S-TECH×0.24,S-GLOBAL×0.32,S-CONTENT×0.45)+0.4·bare投票(4.00)",1
10609356094.jpg,koniq,r6,,3.4557,"R6=0.6·动态融合(S-TECH×0.39,S-GLOBAL×0.34,S-CONTENT×0.27)+0.4·bare投票(3.00)",1
10619909515.jpg,koniq,r6,,4.2157,"R6=0.6·动态融合(S-TECH×0.31,S-GLOBAL×0.32,S-CONTENT×0.37)+0.4·bare投票(4.00)",1
10620356404.jpg,koniq,r6,,4.2178,"R6=0.6·动态融合(S-TECH×0.26,S-GLOBAL×0.32,S-CONTENT×0.42)+0.4·bare投票(4.00)",1
106456452.jpg,koniq,r6,,1.88,"R6=0.6·动态融合(S-TECH×0.28,S-GLOBAL×0.29,S-CONTENT×0.43)+0.4·bare投票(2.00)",1
10680715605.jpg,koniq,r6,,2.549,"R6=0.6·动态融合(S-TECH×0.80,S-GLOBAL×0.16,S-CONTENT×0.04)+0.4·bare投票(3.00)",1
10680932454.jpg,koniq,r6,,3.9233,"R6=0.6·动态融合(S-TECH×0.34,S-GLOBAL×0.35,S-CONTENT×0.31)+0.4·bare投票(4.00)",1
10686332213.jpg,koniq,r6,,3.0616,"R6=0.6·动态融合(S-TECH×0.60,S-GLOBAL×0.26,S-CONTENT×0.14)+0.4·bare投票(3.00)",1
10694350076.jpg,koniq,r6,,4.1406,"R6=0.6·动态融合(S-TECH×0.21,S-GLOBAL×0.32,S-CONTENT×0.48)+0.4·bare投票(3.75)",1
10705911926.jpg,koniq,r6,,3.6557,"R6=0.6·动态融合(S-TECH×0.13,S-GLOBAL×0.29,S-CONTENT×0.58)+0.4·bare投票(3.25)",1
10706770686.jpg,koniq,r6,,4.2406,"R6=0.6·动态融合(S-TECH×0.19,S-GLOBAL×0.33,S-CONTENT×0.48)+0.4·bare投票(4.00)",1
10713772814.jpg,koniq,r6,,3.4356,"R6=0.6·动态融合(S-TECH×0.40,S-GLOBAL×0.35,S-CONTENT×0.25)+0.4·bare投票(3.00)",1
10740727595.jpg,koniq,r6,,3.5802,"R6=0.6·动态融合(S-TECH×0.38,S-GLOBAL×0.35,S-CONTENT×0.27)+0.4·bare投票(3.25)",1
10745415703.jpg,koniq,r6,,3.8593,"R6=0.6·动态融合(S-TECH×0.62,S-GLOBAL×0.23,S-CONTENT×0.14)+0.4·bare投票(4.00)",1
10745932825.jpg,koniq,r6,,3.7018,"R6=0.6·动态融合(S-TECH×0.44,S-GLOBAL×0.31,S-CONTENT×0.25)+0.4·bare投票(3.75)",1
10747724694.jpg,koniq,r6,,3.1611,"R6=0.6·动态融合(S-TECH×0.29,S-GLOBAL×0.34,S-CONTENT×0.37)+0.4·bare投票(3.00)",1
10762659033.jpg,koniq,r6,,2.5339,"R6=0.6·动态融合(S-TECH×0.49,S-GLOBAL×0.33,S-CONTENT×0.19)+0.4·bare投票(3.00)",1
10765812585.jpg,koniq,r6,,3.5141,"R6=0.6·动态融合(S-TECH×0.52,S-GLOBAL×0.29,S-CONTENT×0.19)+0.4·bare投票(3.75)",1
10775358296.jpg,koniq,r6,,2.0311,"R6=0.6·动态融合(S-TECH×0.49,S-GLOBAL×0.28,S-CONTENT×0.23)+0.4·bare投票(2.00)",1
10783395635.jpg,koniq,r6,,4.2327,"R6=0.6·动态融合(S-TECH×0.22,S-GLOBAL×0.32,S-CONTENT×0.46)+0.4·bare投票(4.00)",1
10784159775.jpg,koniq,r6,,4.2388,"R6=0.6·动态融合(S-TECH×0.20,S-GLOBAL×0.33,S-CONTENT×0.47)+0.4·bare投票(4.00)",1
10786271105.jpg,koniq,r6,,3.8241,"R6=0.6·动态融合(S-TECH×0.24,S-GLOBAL×0.32,S-CONTENT×0.44)+0.4·bare投票(3.00)",1
10798439785.jpg,koniq,r6,,3.7172,"R6=0.6·动态融合(S-TECH×0.55,S-GLOBAL×0.27,S-CONTENT×0.17)+0.4·bare投票(4.00)",1
10799367156.jpg,koniq,r6,,4.48,"R6=0.6·动态融合(S-TECH×0.08,S-GLOBAL×0.24,S-CONTENT×0.67)+0.4·bare投票(4.00)",1
10799853136.jpg,koniq,r6,,3.4145,"R6=0.6·动态融合(S-TECH×0.42,S-GLOBAL×0.36,S-CONTENT×0.22)+0.4·bare投票(3.25)",1
10806677866.jpg,koniq,r6,,4.1676,"R6=0.6·动态融合(S-TECH×0.40,S-GLOBAL×0.30,S-CONTENT×0.30)+0.4·bare投票(4.00)",1
10819001424.jpg,koniq,r6,,2.0597,"R6=0.6·动态融合(S-TECH×0.80,S-GLOBAL×0.16,S-CONTENT×0.04)+0.4·bare投票(2.00)",1
10849117054.jpg,koniq,r6,,3.8642,"R6=0.6·动态融合(S-TECH×0.54,S-GLOBAL×0.30,S-CONTENT×0.16)+0.4·bare投票(4.00)",1
1084984228.jpg,koniq,r6,,2.4494,"R6=0.6·动态融合(S-TECH×0.81,S-GLOBAL×0.16,S-CONTENT×0.04)+0.4·bare投票(3.00)",1
10856434794.jpg,koniq,r6,,2.9618,"R6=0.6·动态融合(S-TECH×0.26,S-GLOBAL×0.34,S-CONTENT×0.40)+0.4·bare投票(2.50)",1
10872249945.jpg,koniq,r6,,4.88,"R6=0.6·动态融合(S-TECH×0.18,S-GLOBAL×0.28,S-CONTENT×0.54)+0.4·bare投票(5.00)",1
10880314705.jpg,koniq,r6,,4.2372,"R6=0.6·动态融合(S-TECH×0.27,S-GLOBAL×0.31,S-CONTENT×0.42)+0.4·bare投票(4.00)",1
1089100444.jpg,koniq,r6,,4.48,"R6=0.6·动态融合(S-TECH×0.13,S-GLOBAL×0.28,S-CONTENT×0.59)+0.4·bare投票(4.00)",1
10923819485.jpg,koniq,r6,,2.6137,"R6=0.6·动态融合(S-TECH×0.51,S-GLOBAL×0.28,S-CONTENT×0.20)+0.4·bare投票(3.00)",1
10927420963.jpg,koniq,r6,,4.2275,"R6=0.6·动态融合(S-TECH×0.25,S-GLOBAL×0.31,S-CONTENT×0.44)+0.4·bare投票(4.00)",1
10961758274.jpg,koniq,r6,,4.48,"R6=0.6·动态融合(S-TECH×0.08,S-GLOBAL×0.26,S-CONTENT×0.66)+0.4·bare投票(4.00)",1
10981006796.jpg,koniq,r6,,2.0888,"R6=0.6·动态融合(S-TECH×0.37,S-GLOBAL×0.34,S-CONTENT×0.29)+0.4·bare投票(2.00)",1
11005410885.jpg,koniq,r6,,3.3443,"R6=0.6·动态融合(S-TECH×0.33,S-GLOBAL×0.34,S-CONTENT×0.33)+0.4·bare投票(3.00)",1
1100873520.jpg,koniq,r6,,3.3016,"R6=0.6·动态融合(S-TECH×0.36,S-GLOBAL×0.34,S-CONTENT×0.30)+0.4·bare投票(3.00)",1
11016485883.jpg,koniq,r6,,4.3971,"R6=0.6·动态融合(S-TECH×0.20,S-GLOBAL×0.34,S-CONTENT×0.46)+0.4·bare投票(4.00)",1
11031973684.jpg,koniq,r6,,3.5459,"R6=0.6·动态融合(S-TECH×0.10,S-GLOBAL×0.26,S-CONTENT×0.64)+0.4·bare投票(3.00)",1
11054955216.jpg,koniq,r6,,3.5224,"R6=0.6·动态融合(S-TECH×0.61,S-GLOBAL×0.26,S-CONTENT×0.13)+0.4·bare投票(3.75)",1
11078122366.jpg,koniq,r6,,3.4643,"R6=0.6·动态融合(S-TECH×0.59,S-GLOBAL×0.26,S-CONTENT×0.15)+0.4·bare投票(3.50)",1
11098121724.jpg,koniq,r6,,3.8076,"R6=0.6·动态融合(S-TECH×0.24,S-GLOBAL×0.32,S-CONTENT×0.44)+0.4·bare投票(3.00)",1
11111585533.jpg,koniq,r6,,4.3933,"R6=0.6·动态融合(S-TECH×0.21,S-GLOBAL×0.31,S-CONTENT×0.48)+0.4·bare投票(4.00)",1
11118140253.jpg,koniq,r6,,4.3986,"R6=0.6·动态融合(S-TECH×0.19,S-GLOBAL×0.34,S-CONTENT×0.47)+0.4·bare投票(4.00)",1
11143825565.jpg,koniq,r6,,4.3872,"R6=0.6·动态融合(S-TECH×0.22,S-GLOBAL×0.33,S-CONTENT×0.45)+0.4·bare投票(4.00)",1
11158314215.jpg,koniq,r6,,3.2841,"R6=0.6·动态融合(S-TECH×0.59,S-GLOBAL×0.27,S-CONTENT×0.15)+0.4·bare投票(3.00)",1
11159983896.jpg,koniq,r6,,4.2196,"R6=0.6·动态融合(S-TECH×0.25,S-GLOBAL×0.33,S-CONTENT×0.43)+0.4·bare投票(4.00)",1
11169904264.jpg,koniq,r6,,3.6963,"R6=0.6·动态融合(S-TECH×0.57,S-GLOBAL×0.28,S-CONTENT×0.15)+0.4·bare投票(4.00)",1
11209059333.jpg,koniq,r6,,2.9705,"R6=0.6·动态融合(S-TECH×0.10,S-GLOBAL×0.28,S-CONTENT×0.61)+0.4·bare投票(3.00)",1
11216436636.jpg,koniq,r6,,4.095,"R6=0.6·动态融合(S-TECH×0.34,S-GLOBAL×0.36,S-CONTENT×0.30)+0.4·bare投票(4.00)",1
11229777185.jpg,koniq,r6,,3.9837,"R6=0.6·动态融合(S-TECH×0.22,S-GLOBAL×0.29,S-CONTENT×0.49)+0.4·bare投票(4.00)",1
11241096796.jpg,koniq,r6,,4.2376,"R6=0.6·动态融合(S-TECH×0.21,S-GLOBAL×0.32,S-CONTENT×0.47)+0.4·bare投票(4.00)",1
11242015725.jpg,koniq,r6,,3.6558,"R6=0.6·动态融合(S-TECH×0.49,S-GLOBAL×0.30,S-CONTENT×0.21)+0.4·bare投票(3.75)",1
11245781693.jpg,koniq,r6,,3.6371,"R6=0.6·动态融合(S-TECH×0.43,S-GLOBAL×0.32,S-CONTENT×0.25)+0.4·bare投票(3.50)",1
11250215644.jpg,koniq,r6,,3.8096,"R6=0.6·动态融合(S-TECH×0.22,S-GLOBAL×0.33,S-CONTENT×0.45)+0.4·bare投票(3.00)",1
11252383376.jpg,koniq,r6,,4.2274,"R6=0.6·动态融合(S-TECH×0.23,S-GLOBAL×0.32,S-CONTENT×0.44)+0.4·bare投票(4.00)",1
11252644224.jpg,koniq,r6,,3.416,"R6=0.6·动态融合(S-TECH×0.23,S-GLOBAL×0.36,S-CONTENT×0.42)+0.4·bare投票(3.00)",1
11264048414.jpg,koniq,r6,,1.88,"R6=0.6·动态融合(S-TECH×0.11,S-GLOBAL×0.28,S-CONTENT×0.61)+0.4·bare投票(2.00)",1
11270280904.jpg,koniq,r6,,3.1467,"R6=0.6·动态融合(S-TECH×0.67,S-GLOBAL×0.25,S-CONTENT×0.07)+0.4·bare投票(4.00)",1
11273190884.jpg,koniq,r6,,4.2821,"R6=0.6·动态融合(S-TECH×0.16,S-GLOBAL×0.32,S-CONTENT×0.53)+0.4·bare投票(4.00)",1
11287273183.jpg,koniq,r6,,3.9539,"R6=0.6·动态融合(S-TECH×0.12,S-GLOBAL×0.30,S-CONTENT×0.59)+0.4·bare投票(4.00)",1
11294894953.jpg,koniq,r6,,3.5501,"R6=0.6·动态融合(S-TECH×0.31,S-GLOBAL×0.37,S-CONTENT×0.32)+0.4·bare投票(3.00)",1
11310848503.jpg,koniq,r6,,3.888,"R6=0.6·动态融合(S-TECH×0.34,S-GLOBAL×0.31,S-CONTENT×0.35)+0.4·bare投票(3.75)",1
11338371864.jpg,koniq,r6,,3.4926,"R6=0.6·动态融合(S-TECH×0.34,S-GLOBAL×0.37,S-CONTENT×0.29)+0.4·bare投票(3.00)",1
11356760053.jpg,koniq,r6,,4.8397,"R6=0.6·动态融合(S-TECH×0.21,S-GLOBAL×0.29,S-CONTENT×0.50)+0.4·bare投票(4.75)",1
11382799454.jpg,koniq,r6,,4.48,"R6=0.6·动态融合(S-TECH×0.11,S-GLOBAL×0.26,S-CONTENT×0.63)+0.4·bare投票(4.00)",1
11396447303.jpg,koniq,r6,,3.5025,"R6=0.6·动态融合(S-TECH×0.34,S-GLOBAL×0.36,S-CONTENT×0.30)+0.4·bare投票(3.00)",1
11433593823.jpg,koniq,r6,,4.1777,"R6=0.6·动态融合(S-TECH×0.38,S-GLOBAL×0.30,S-CONTENT×0.32)+0.4·bare投票(4.00)",1
11436390143.jpg,koniq,r6,,4.2583,"R6=0.6·动态融合(S-TECH×0.22,S-GLOBAL×0.31,S-CONTENT×0.47)+0.4·bare投票(4.00)",1
11437542656.jpg,koniq,r6,,4.3391,"R6=0.6·动态融合(S-TECH×0.34,S-GLOBAL×0.31,S-CONTENT×0.35)+0.4·bare投票(4.00)",1
11446005074.jpg,koniq,r6,,3.6409,"R6=0.6·动态融合(S-TECH×0.59,S-GLOBAL×0.26,S-CONTENT×0.14)+0.4·bare投票(4.00)",1
11452299875.jpg,koniq,r6,,4.2894,"R6=0.6·动态融合(S-TECH×0.31,S-GLOBAL×0.34,S-CONTENT×0.35)+0.4·bare投票(4.00)",1
11456199025.jpg,koniq,r6,,2.0409,"R6=0.6·动态融合(S-TECH×0.44,S-GLOBAL×0.31,S-CONTENT×0.24)+0.4·bare投票(2.00)",1
11477250346.jpg,koniq,r6,,4.3903,"R6=0.6·动态融合(S-TECH×0.21,S-GLOBAL×0.32,S-CONTENT×0.46)+0.4·bare投票(4.00)",1
11490304024.jpg,koniq,r6,,4.2096,"R6=0.6·动态融合(S-TECH×0.33,S-GLOBAL×0.31,S-CONTENT×0.36)+0.4·bare投票(4.00)",1
11520125355.jpg,koniq,r6,,3.4088,"R6=0.6·动态融合(S-TECH×0.45,S-GLOBAL×0.32,S-CONTENT×0.23)+0.4·bare投票(3.00)",1
11522984926.jpg,koniq,r6,,4.1682,"R6=0.6·动态融合(S-TECH×0.38,S-GLOBAL×0.32,S-CONTENT×0.30)+0.4·bare投票(4.00)",1
11527524903.jpg,koniq,r6,,2.4699,"R6=0.6·动态融合(S-TECH×0.48,S-GLOBAL×0.29,S-CONTENT×0.24)+0.4·bare投票(2.25)",1
115290990.jpg,koniq,r6,,4.4011,"R6=0.6·动态融合(S-TECH×0.29,S-GLOBAL×0.35,S-CONTENT×0.36)+0.4·bare投票(4.00)",1
11559530473.jpg,koniq,r6,,3.4483,"R6=0.6·动态融合(S-TECH×0.41,S-GLOBAL×0.34,S-CONTENT×0.25)+0.4·bare投票(3.00)",1
1159028861.jpg,koniq,r6,,4.2464,"R6=0.6·动态融合(S-TECH×0.19,S-GLOBAL×0.32,S-CONTENT×0.49)+0.4·bare投票(4.00)",1
117172917.jpg,koniq,r6,,3.4212,"R6=0.6·动态融合(S-TECH×0.38,S-GLOBAL×0.37,S-CONTENT×0.25)+0.4·bare投票(3.00)",1
122760647.jpg,koniq,r6,,3.1911,"R6=0.6·动态融合(S-TECH×0.26,S-GLOBAL×0.34,S-CONTENT×0.40)+0.4·bare投票(3.00)",1
1240561841.jpg,koniq,r6,,3.3502,"R6=0.6·动态融合(S-TECH×0.26,S-GLOBAL×0.33,S-CONTENT×0.41)+0.4·bare投票(3.00)",1
1249337589.jpg,koniq,r6,,4.3667,"R6=0.6·动态融合(S-TECH×0.27,S-GLOBAL×0.33,S-CONTENT×0.40)+0.4·bare投票(4.00)",1
127977276.jpg,koniq,r6,,4.2524,"R6=0.6·动态融合(S-TECH×0.18,S-GLOBAL×0.32,S-CONTENT×0.50)+0.4·bare投票(4.00)",1
128781220.jpg,koniq,r6,,3.4592,"R6=0.6·动态融合(S-TECH×0.58,S-GLOBAL×0.26,S-CONTENT×0.16)+0.4·bare投票(3.75)",1
1296759644.jpg,koniq,r6,,2.0722,"R6=0.6·动态融合(S-TECH×0.79,S-GLOBAL×0.17,S-CONTENT×0.04)+0.4·bare投票(2.00)",1
1297819816.jpg,koniq,r6,,4.2045,"R6=0.6·动态融合(S-TECH×0.29,S-GLOBAL×0.32,S-CONTENT×0.39)+0.4·bare投票(4.00)",1
132921013.jpg,koniq,r6,,4.3164,"R6=0.6·动态融合(S-TECH×0.26,S-GLOBAL×0.34,S-CONTENT×0.40)+0.4·bare投票(4.00)",1
1332211559.jpg,koniq,r6,,1.88,"R6=0.6·动态融合(S-TECH×0.30,S-GLOBAL×0.29,S-CONTENT×0.41)+0.4·bare投票(2.00)",1
13325497.jpg,koniq,r6,,3.5216,"R6=0.6·动态融合(S-TECH×0.32,S-GLOBAL×0.36,S-CONTENT×0.32)+0.4·bare投票(3.00)",1
1351917139.jpg,koniq,r6,,3.8368,"R6=0.6·动态融合(S-TECH×0.42,S-GLOBAL×0.35,S-CONTENT×0.23)+0.4·bare投票(4.00)",1
135352055.jpg,koniq,r6,,1.88,"R6=0.6·动态融合(S-TECH×0.30,S-GLOBAL×0.29,S-CONTENT×0.42)+0.4·bare投票(2.00)",1
135403304.jpg,koniq,r6,,1.9948,"R6=0.6·动态融合(S-TECH×0.57,S-GLOBAL×0.26,S-CONTENT×0.17)+0.4·bare投票(2.00)",1
1360663704.jpg,koniq,r6,,4.0521,"R6=0.6·动态融合(S-TECH×0.19,S-GLOBAL×0.31,S-CONTENT×0.50)+0.4·bare投票(3.50)",1
136287514.jpg,koniq,r6,,2.8831,"R6=0.6·动态融合(S-TECH×0.60,S-GLOBAL×0.29,S-CONTENT×0.11)+0.4·bare投票(3.00)",1
1368120580.jpg,koniq,r6,,4.4173,"R6=0.6·动态融合(S-TECH×0.15,S-GLOBAL×0.31,S-CONTENT×0.54)+0.4·bare投票(4.00)",1
136948336.jpg,koniq,r6,,3.5354,"R6=0.6·动态融合(S-TECH×0.37,S-GLOBAL×0.34,S-CONTENT×0.29)+0.4·bare投票(3.00)",1
138750201.jpg,koniq,r6,,3.2206,"R6=0.6·动态融合(S-TECH×0.20,S-GLOBAL×0.33,S-CONTENT×0.47)+0.4·bare投票(3.00)",1
139611767.jpg,koniq,r6,,2.4798,"R6=0.6·动态融合(S-TECH×0.78,S-GLOBAL×0.18,S-CONTENT×0.05)+0.4·bare投票(3.00)",1
1404458044.jpg,koniq,r6,,3.2286,"R6=0.6·动态融合(S-TECH×0.59,S-GLOBAL×0.26,S-CONTENT×0.15)+0.4·bare投票(3.00)",1
1408118135.jpg,koniq,r6,,3.0981,"R6=0.6·动态融合(S-TECH×0.59,S-GLOBAL×0.27,S-CONTENT×0.14)+0.4·bare投票(3.00)",1
14092652.jpg,koniq,r6,,3.5387,"R6=0.6·动态融合(S-TECH×0.30,S-GLOBAL×0.36,S-CONTENT×0.33)+0.4·bare投票(3.00)",1
1430765461.jpg,koniq,r6,,3.1902,"R6=0.6·动态融合(S-TECH×0.63,S-GLOBAL×0.25,S-CONTENT×0.12)+0.4·bare投票(3.00)",1
143394138.jpg,koniq,r6,,2.5238,"R6=0.6·动态融合(S-TECH×0.48,S-GLOBAL×0.31,S-CONTENT×0.21)+0.4·bare投票(2.75)",1
143643298.jpg,koniq,r6,,1.994,"R6=0.6·动态融合(S-TECH×0.56,S-GLOBAL×0.26,S-CONTENT×0.17)+0.4·bare投票(2.00)",1
145089144.jpg,koniq,r6,,2.0459,"R6=0.6·动态融合(S-TECH×0.45,S-GLOBAL×0.30,S-CONTENT×0.25)+0.4·bare投票(2.00)",1
1466864952.jpg,koniq,r6,,2.7067,"R6=0.6·动态融合(S-TECH×0.69,S-GLOBAL×0.24,S-CONTENT×0.07)+0.4·bare投票(3.00)",1
1473138944.jpg,koniq,r6,,1.9996,"R6=0.6·动态融合(S-TECH×0.54,S-GLOBAL×0.28,S-CONTENT×0.18)+0.4·bare投票(2.00)",1
147783170.jpg,koniq,r6,,2.0631,"R6=0.6·动态融合(S-TECH×0.42,S-GLOBAL×0.30,S-CONTENT×0.28)+0.4·bare投票(2.00)",1
14898266.jpg,koniq,r6,,1.9978,"R6=0.6·动态融合(S-TECH×0.26,S-GLOBAL×0.30,S-CONTENT×0.45)+0.4·bare投票(2.25)",1
1492755190.jpg,koniq,r6,,3.8665,"R6=0.6·动态融合(S-TECH×0.40,S-GLOBAL×0.31,S-CONTENT×0.29)+0.4·bare投票(4.00)",1
149867784.jpg,koniq,r6,,3.4455,"R6=0.6·动态融合(S-TECH×0.20,S-GLOBAL×0.34,S-CONTENT×0.46)+0.4·bare投票(3.00)",1
15012954.jpg,koniq,r6,,2.1048,"R6=0.6·动态融合(S-TECH×0.76,S-GLOBAL×0.19,S-CONTENT×0.06)+0.4·bare投票(2.00)",1
153876946.jpg,koniq,r6,,3.4728,"R6=0.6·动态融合(S-TECH×0.36,S-GLOBAL×0.36,S-CONTENT×0.28)+0.4·bare投票(3.00)",1
1540229828.jpg,koniq,r6,,3.9074,"R6=0.6·动态融合(S-TECH×0.36,S-GLOBAL×0.34,S-CONTENT×0.30)+0.4·bare投票(4.00)",1
