img_id,dataset,route,level,score,reason,parse_tier
10206674394.jpg,koniq,r4,,4.7497,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.8): Crisp edges on sheep, no noise in sky or shadows, even exposure, neutral white balance, no compression artifacts or chromatic aberration. | S-CONTENT(4.8): Both sheep fully visible, no oc",1
10211880874.jpg,koniq,r4,,3.2893,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(1.8): Severe exposure issues: crushed shadows dominate; highlights are clipped and overexposed; extreme noise in dark areas; no discernible fine detail. | S-AESTH(4.1): Strong chiaroscuro light",1
10241895785.jpg,koniq,r4,,4.2888,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Minor softness in dome details; slight noise in shadowed areas; no clipping or color cast; clean gradients and no visible compression artifacts. | S-AESTH(4.8): Symmetrical dome compositi",1
10265315316.jpg,koniq,r4,,3.7542,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Moderate blur across panels, visible noise in shadows, slight compression artifacts; fine details like hair and ornamentation are smeared. | S-AESTH(4.1): Symmetrical grid composition wit",1
10279904885.jpg,koniq,r4,,3.7438,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.8): Heavy noise in dark areas, crushed shadows with no detail, and slight blur in aurora edges; green cast suggests white balance issue. | S-AESTH(4.8): Dramatic diagonal composition, luminou",1
10283619534.jpg,koniq,r4,,3.7288,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp wheel and frame edges; minor softness in background. No noise, clipping, or color cast. Slight JPEG compression visible on gradients. | S-AESTH(2.9): Cluttered red frame obstructs s",1
10296038236.jpg,koniq,r4,,3.1269,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.8): Severe highlight clipping on hair, heavy noise in shadows, and soft focus; fine textures lost, especially on guitar and fabric. | S-AESTH(4.1): Strong stage lighting highlights subject; w",1
102995966.jpg,koniq,r4,,1.9653,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(1.8): Severe underexposure crushes shadows; extreme red color cast from white balance; motion blur and noise in dark areas obscure detail. | S-CONTENT(1.8): Subject partially cut off; key regio",1
10330831494.jpg,koniq,r4,,2.778,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.8): Noticeable noise in shadows and midtones, soft focus with blurred edges, slight yellow cast, minor JPEG artifacts visible on curtain edges. | S-CONTENT(2.9): Subject partially cut: person",1
10336689775.jpg,koniq,r4,,3.5695,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Soft focus on barn wood grain, slight noise in dark areas, overexposed sky with clipped highlights, minor green cast in shadows. | S-AESTH(2.9): Centered barn with flat lighting and muted",1
10346758803.jpg,koniq,r4,,3.6749,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Noticeable noise in shadows and midtones; slight blur in foliage edges; compressed JPEG artifacts visible in gradients; white balance slightly warm. | S-AESTH(4.8): Dynamic composition wi",1
10353620913.jpg,koniq,r4,,3.7499,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Heavy noise in shadows, motion blur on candle flame, crushed blacks, and warm color cast reduce clarity and technical fidelity. | S-AESTH(4.8): Warm, directional light sculpts the candle ",1
10375167904.jpg,koniq,r4,,3.6708,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Soft focus on dessert edges, visible noise in shadows and background, slight color cast; fine textures like powdered sugar and fruit seeds are smeared. | S-AESTH(4.0): Pleasant compositio",1
10382843045.jpg,koniq,r4,,3.4197,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.8): Moderate blur across ducks, visible noise in shadows, crushed darks, and warm color cast; fine textures smeared, edges soft. | S-AESTH(2.9): Cluttered composition with no clear focal poin",1
10397166423.jpg,koniq,r4,,4.4254,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp butterfly edges and wing textures; slight softness in background foliage; no noise, clipping, or artifacts visible. | S-AESTH(4.1): Strong composition with butterfly centered on lea",1
10408474376.jpg,koniq,r4,,4.6657,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.8): Crisp edges, no noise or blur; even exposure with no clipping; neutral white balance; no compression artifacts or chromatic aberration. | S-AESTH(4.1): Vibrant colors create strong visual",1
10422425365.jpg,koniq,r4,,3.947,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Minor softness in fur and grass; slight noise in shadows; no clipping, cast, or artifacts; focus on dog is acceptable. | S-AESTH(4.1): Strong subject focus with dynamic pose; balanced com",1
10422776735.jpg,koniq,r4,,3.5233,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Soft focus on cows and foliage; visible noise in shadows; overexposed sky with clipped highlights; slight green cast in midtones. | S-AESTH(2.9): Ordinary composition with centered subjec",1
10430335945.jpg,koniq,r4,,3.69,"学习权重融合(S-GLOBAL×0.24,S-TECH×0.40,S-CONTENT×0.17) | S-AESTH(4.1): Strong subject placement on diagonal wire; vibrant yellow bird contrasts cleanly against neutral background; soft, even light enhances texture without harshness. | S-CONTENT(3.9): Bird f",1
10468540574.jpg,koniq,r4,,3.6561,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Moderate blur across subject edges, visible noise in shadows, slight exposure clipping in highlights, and mild chromatic aberration on high-contrast graffiti edges. | S-AESTH(4.1): Strong",1
10471406506.jpg,koniq,r4,,3.218,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Moderate noise in shadows and midtones; slight blur on faces and tree textures; exposure slightly crushed in dark areas. | S-AESTH(2.9): Ordinary composition with group centered in tree c",1
10474002734.jpg,koniq,r4,,4.0045,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Minor softness and slight noise in shadows; edges crisp, no compression artifacts or color cast; exposure even with no clipping. | S-AESTH(2.9): Ordinary composition with centered subject",1
10475658035.jpg,koniq,r4,,4.8185,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-AESTH×0.13) | S-TECH(4.8): Crisp edges, no noise, balanced exposure, neutral white balance, no compression artifacts or chromatic aberration. Pristine technical quality. | S-AESTH(4.8): Perfect composition with cen",1
10491358066.jpg,koniq,r4,,4.2353,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Minor softness in insect edges and slight noise in leaf shadows; no clipping, cast, or artifacts; fine textures mostly resolved. | S-AESTH(4.1): Strong natural composition with insect cen",1
10520192995.jpg,koniq,r4,,3.5376,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.8): Crushed shadows with no detail in dark areas; slight noise in midtones; flame edges soft but not blurred; no color cast or compression artifacts. | S-AESTH(4.1): Strong lighting creates w",1
10534454676.jpg,koniq,r4,,4.0744,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Minor softness and slight noise in shadows; edges of numerals and hands crisp; no color cast or compression artifacts. | S-AESTH(2.9): Ordinary composition with centered subject; flat lig",1
10539341593.jpg,koniq,r4,,4.034,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Minor softness and slight noise in shadows; edges mostly crisp, no compression artifacts or color cast; exposure well-balanced. | S-AESTH(2.9): Ordinary composition with centered group; f",1
10544945153.jpg,koniq,r4,,3.3678,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Moderate atmospheric haze reduces edge sharpness; shadows are crushed with loss of detail; mild noise in dark areas; no strong color cast or compression artifacts. | S-AESTH(4.1): Strong ",1
10574233584.jpg,koniq,r4,,3.1471,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Severe shadow crush obscures details; moderate noise in dark areas; subject edges slightly soft; no clipping or color cast. | S-AESTH(4.1): Strong chiaroscuro lighting sculpts the golden ",1
10576676414.jpg,koniq,r4,,3.5233,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Moderate blur across food textures, visible noise in dark areas, slight exposure imbalance with crushed shadows in pan edges. | S-AESTH(2.9): Ordinary composition with centered subject; f",1
10581525775.jpg,koniq,r4,,3.5811,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Moderate blur on bottle edges and label text; noticeable noise in dark areas; slight exposure imbalance with clipped highlights in background lights. | S-AESTH(4.1): Strong composition wi",1
10597114264.jpg,koniq,r4,,4.385,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Minor softness and slight noise in shadows; edges crisp overall, no compression artifacts or color cast. | S-AESTH(4.1): Vibrant yellow dominates with strong visual hierarchy; composition",1
10609356094.jpg,koniq,r4,,3.6766,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Moderate noise in shadows and midtones; slight blur in fine details like foliage and wires; overall soft focus reduces crispness. | S-AESTH(4.0): Strong backlighting creates moody atmosph",1
10619909515.jpg,koniq,r4,,4.3126,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Subject edges sharp with fine texture detail; slight softness in background; minimal noise; exposure balanced; no visible artifacts or color cast. | S-AESTH(4.8): Golden coral fungi domin",1
10620356404.jpg,koniq,r4,,4.2353,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp gill texture and stem detail; slight softness in background moss; minimal noise; even exposure; no visible artifacts or color cast. | S-AESTH(4.1): Strong close-up composition with ",1
106456452.jpg,koniq,r4,,1.8327,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(1.8): Severe motion blur, heavy noise in dark areas, crushed shadows, and poor focus on subject; highlights clipped; overall very low technical fidelity. | S-AESTH(1.8): Harsh red lighting, clu",1
10680715605.jpg,koniq,r4,,3.3008,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(1.8): Severe motion blur creates smeared circular trails; no fine detail visible; extreme exposure contrast with crushed shadows and clipped highlights. | S-AESTH(4.1): Strong circular composit",1
10680932454.jpg,koniq,r4,,3.7138,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Moderate blur on subject edges and fine textures; noticeable noise in shadows; slight exposure clipping in highlights; no severe artifacts. | S-AESTH(4.1): Strong composition with couple ",1
10686332213.jpg,koniq,r4,,3.4123,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.8): Severe shadow crush obscures floor and corners; midtones lack detail; slight noise in dark areas; overall underexposed with clipped highlights on ceiling light. | S-AESTH(4.1): Strong chi",1
10694350076.jpg,koniq,r4,,4.0744,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp edges on truck and people; slight softness in distant foliage; minimal noise; even exposure; no color cast or compression artifacts. | S-AESTH(2.9): Ordinary snapshot: cluttered bac",1
10705911926.jpg,koniq,r4,,4.0589,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Slight softness in sail texture and minor noise in sky; no clipping, cast, or artifacts; overall clean and well-exposed. | S-AESTH(4.1): Strong vertical composition with clean lines; soft",1
10706770686.jpg,koniq,r4,,4.2353,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp sails and rigging; slight softness in distant background. No noise, clipping, or artifacts. White balance neutral. Minor compression possible but not distracting. | S-AESTH(4.1): St",1
10713772814.jpg,koniq,r4,,3.5233,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Moderate motion blur on player edges and ball; noticeable noise in shadows; slight focus softness on main subject. | S-AESTH(2.9): Ordinary composition with centered subject; flat gym lig",1
10740727595.jpg,koniq,r4,,3.5932,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Overexposed sky with clipped highlights, slight softness in foliage edges, and minor noise in shadows reduce technical fidelity. | S-AESTH(2.9): Ordinary composition with centered checkma",1
10745415703.jpg,koniq,r4,,3.7435,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp focus on gate and subject; minimal noise; even exposure with slight shadow crush; no color cast or compression artifacts. | S-AESTH(4.1): Strong graphic composition with bars framin",1
10745932825.jpg,koniq,r4,,3.714,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.8): Severe exposure issues: central structure is crushed to black, losing all detail; highlights in slats are clipped. No visible noise or artifacts, but extreme dynamic range loss dominates.",1
10747724694.jpg,koniq,r4,,2.9221,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Noticeable blur across entire image, especially on text and tire edges; moderate noise in shadows; slight compression artifacts; exposure is flat with crushed shadows. | S-AESTH(1.8): Har",1
10762659033.jpg,koniq,r4,,2.1453,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(1.8): Severe motion blur smears edges and textures; extreme overexposure clips sky to white; strong green cast in foliage; heavy noise in shadows. | S-AESTH(1.8): Harsh overexposed sky, chaotic",1
10765812585.jpg,koniq,r4,,3.6553,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.8): Severe shadow crush obscures foreground details; highlights are blown out; minimal noise or artifacts but extreme exposure issues dominate. | S-AESTH(4.8): Dramatic sunset lighting create",1
10775358296.jpg,koniq,r4,,2.05,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(1.8): Severe motion blur, heavy noise in shadows, crushed blacks, and strong color cast from stage lighting obscure detail throughout. | S-AESTH(1.8): Harsh red/green lighting clashes, poor sub",1
10783395635.jpg,koniq,r4,,4.1242,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-AESTH×0.13) | S-TECH(4.1): Minor softness in fur and background; slight noise in shadows; no clipping or color cast; clean gradients; no compression artifacts. | S-AESTH(4.0): Strong subject placement with natural ",1
10784159775.jpg,koniq,r4,,4.0744,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Minor softness and slight noise in shadows; no blur, clipping, or color cast; gradients smooth; no compression artifacts visible. | S-AESTH(2.9): Neutral composition, flat lighting, muted",1
10786271105.jpg,koniq,r4,,4.0744,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Minor softness and slight noise in shadows; edges mostly crisp, no compression artifacts or color cast. | S-AESTH(2.9): Ordinary composition with subjects off-center; flat daylight lacks ",1
10798439785.jpg,koniq,r4,,3.8076,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Heavy noise in dark areas, slight blur in firework trails, crushed shadows; minor chromatic aberration on bright edges. | S-AESTH(4.8): Radiant fireworks burst with balanced red/green hue",1
10799367156.jpg,koniq,r4,,4.7497,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.8): Crisp tree branches with fine twigs sharp, clean blue sky with no noise or artifacts, proper exposure and neutral white balance. | S-CONTENT(4.8): Tree branches fully visible, no occlusio",1
10799853136.jpg,koniq,r4,,3.5015,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Minor softness in skin and fabric textures; slight noise in shadows; no clipping, white balance neutral, no compression artifacts. | S-AESTH(2.9): Ordinary snapshot: centered subject, fla",1
10806677866.jpg,koniq,r4,,4.2888,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp rose petals with fine texture; slight softness in background and stem; no noise, clipping, or artifacts visible. | S-AESTH(4.8): Strong composition with centered rose, rich reds in ",1
10819001424.jpg,koniq,r4,,2.6336,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(1.8): Severe underexposure crushes shadows; heavy noise in dark areas; extreme red color cast from lighting; focus indistinct; no usable detail in background. | S-AESTH(1.8): Harsh red lighting",1
10849117054.jpg,koniq,r4,,3.9038,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Soft focus on subject, visible noise in shadows, warm color cast, and slight motion blur from candle flame; details in hands and necklace are smeared. | S-AESTH(4.1): Warm, moody lighting",1
1084984228.jpg,koniq,r4,,3.0517,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(1.8): Severe exposure issues: subject is fully silhouetted with crushed shadows; highlights are overexposed. No discernible texture or detail in subject. | S-AESTH(4.1): Strong silhouette compo",1
10856434794.jpg,koniq,r4,,2.9488,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-AESTH×0.13) | S-TECH(2.8): Severe motion blur smears edges and textures; heavy noise in shadows; overall underexposed with crushed darks. | S-AESTH(2.9): Ordinary cityscape with flat lighting and muted colors; comp",1
10872249945.jpg,koniq,r4,,4.7792,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.8): Crisp edges on butterfly wings and flower petals; no noise, clipping, or artifacts; natural white balance; smooth gradients and sharp textures throughout. | S-AESTH(4.8): Strong compositi",1
10880314705.jpg,koniq,r4,,4.3126,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp facial details and costume textures; slight softness in background bokeh; no noise or artifacts visible; exposure and white balance accurate. | S-AESTH(4.8): Dramatic lighting sculp",1
1089100444.jpg,koniq,r4,,4.8,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.8): Crisp jet edges, no blur or noise; even exposure with clean sky; no color cast or compression artifacts; gradients smooth. | S-AESTH(4.8): Dynamic diagonal composition, crisp contrails as",1
10923819485.jpg,koniq,r4,,2.6368,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(1.8): Severe underexposure crushes shadows; heavy noise in dark areas; motion blur on foreground figures; focus soft on sphere edges. | S-AESTH(4.1): Strong central subject with balanced compos",1
10927420963.jpg,koniq,r4,,4.2353,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp architectural edges and textures; slight softness in foliage due to backlighting; no noise or artifacts; exposure balanced with minor highlight clipping. | S-AESTH(4.1): Strong clas",1
10961758274.jpg,koniq,r4,,4.6657,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.8): Crisp edges, no noise or blur; even exposure with no clipping; neutral white balance; no compression artifacts or chromatic aberration. | S-AESTH(4.1): Strong composition with subject cen",1
10981006796.jpg,koniq,r4,,1.9112,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-AESTH×0.13) | S-TECH(1.8): Severe blur and noise throughout; edges smeared, fine textures lost, heavy grain in uniform areas like ground; motion blur evident. | S-AESTH(1.8): Harsh, flat lighting; cluttered composi",1
11005410885.jpg,koniq,r4,,3.3707,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Soft focus on bottle edges and label text; visible noise in dark background; slight exposure imbalance with crushed shadows. | S-AESTH(2.9): Ordinary composition with centered subject; so",1
1100873520.jpg,koniq,r4,,3.5376,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.8): Soft focus on lampshade edges, visible noise in dark background, slight exposure imbalance with crushed shadows. | S-AESTH(4.1): Soft, warm light from lampshade creates gentle glow; balan",1
11016485883.jpg,koniq,r4,,4.1549,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Minor softness and slight noise in shadows; edges crisp, no compression artifacts or color cast; exposure even with no clipping. | S-AESTH(2.9): Ordinary composition with centered mug; fl",1
11031973684.jpg,koniq,r4,,3.8835,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.0): Minor softness and slight noise in shadows; edges mostly crisp, no compression artifacts or color cast. | S-CONTENT(3.9): Subject fully in frame; no occlusion. Minor edge cropping of fore",1
11054955216.jpg,koniq,r4,,3.541,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.8): Severe exposure issues: crushed shadows and clipped highlights; noticeable noise in dark areas; focus soft on record surface and stylus. | S-AESTH(4.1): Strong red lighting creates moody ",1
11078122366.jpg,koniq,r4,,3.6708,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Moderate noise in shadows and midtones; slight softness in facial details; minor color cast; no severe artifacts or exposure clipping. | S-AESTH(4.0): Balanced composition with subjects c",1
11098121724.jpg,koniq,r4,,4.0103,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Minor softness and slight noise in shadows; no blur, clipping, or color cast; gradients smooth; no compression artifacts visible. | S-AESTH(2.9): Ordinary composition with centered subjec",1
11111585533.jpg,koniq,r4,,4.385,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp edges on car, minimal noise in shadows/sky, even exposure, neutral white balance; slight softness near wheels and background curtains. | S-AESTH(4.1): Strong composition with subjec",1
11118140253.jpg,koniq,r4,,4.6245,"学习权重融合(S-GLOBAL×0.24,S-TECH×0.40,S-CONTENT×0.17) | S-AESTH(4.8): Strong composition with bird centered dynamically; clean blue sky background; soft natural light enhances form; harmonious brown/white/blue palette; clear visual hierarchy. | S-CONTENT(4",1
11143825565.jpg,koniq,r4,,4.385,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp metallic edges and fine textures; slight softness in background; no noise, clipping, or artifacts; white balance neutral. | S-AESTH(4.1): Strong metallic sheen and warm tones create",1
11158314215.jpg,koniq,r4,,3.6946,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Moderate noise in shadows and carpet, slight blur on pumpkin edges, crushed shadows, and warm color cast reduce technical clarity. | S-AESTH(4.0): Warm, glowing light enhances carved pump",1
11159983896.jpg,koniq,r4,,4.2353,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(4.1): Crisp fur texture and whiskers; slight softness in background and minor noise in shadows; no artifacts or exposure issues. | S-AESTH(4.1): Strong subject focus with soft, natural lighting",1
11169904264.jpg,koniq,r4,,3.6445,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.9): Soft focus on foreground tomatoes, visible noise in shadows, slight highlight clipping on glossy surfaces, minor chromatic aberration on edges. | S-AESTH(4.1): Rich, saturated reds and gr",1
11209059333.jpg,koniq,r4,,2.9089,"学习权重融合(S-TECH×0.40,S-GLOBAL×0.24,S-CONTENT×0.17) | S-TECH(2.8): Noticeable blur on fine frost textures and grass edges; mild noise in shadows; slight exposure imbalance with crushed darks. | S-AESTH(2.9): Frosty grass composition is natural but clutte",1
